agents,originX,originY,destinationX,destinationY,hr,departure_time_sec,from_facility,to_facility,Departure,Finish
1100,-77.06015957,38.90473512,-77.0369637,38.90155961,am6to7,23881,home_11_0,6338,6:38:01,7:08:01
1100,-77.0369637,38.90155961,-77.06015957,38.90473512,pm12to4,52981,6338,home_11_0,14:43:01,15:08:01
1101,-77.06015957,38.90473512,-77.07921974,38.88517637,am8to9,31006,home_11_0,49532,8:36:46,8:41:46
1101,-77.07921974,38.88517637,-77.01736435,38.94714576,am8to9,31906,49532,85212,8:51:46,9:16:46
1101,-77.01736435,38.94714576,-77.0369637,38.90155961,am9to10,33706,85212,6641,9:21:46,9:36:46
1101,-77.0369637,38.90155961,-77.09440246,38.81368132,pm4to12,65206,6641,87448,18:06:46,18:16:46
1101,-77.09440246,38.81368132,-77.06015957,38.90473512,pm4to12,68806,87448,home_11_0,19:06:46,19:41:46
110100004,-77.05346851,38.97229853,-77.05567278,38.89590057,am8to9,28868,home_11_45175,10382,8:01:08,8:21:08
110100004,-77.05567278,38.89590057,-77.10362943,38.89575718,pm4to12,66368,10382,35126,18:26:08,18:36:08
110100004,-77.10362943,38.89575718,-77.05346851,38.97229853,pm4to12,68468,35126,home_11_45175,19:01:08,19:46:08
110100011,-77.05431874,38.97902514,-77.05567278,38.89590057,am6to7,24967,home_11_45179,10382,6:56:07,7:16:07
110100011,-77.05567278,38.89590057,-77.10218546,38.96584262,pm4to12,62767,10382,40564,17:26:07,18:06:07
110100011,-77.10218546,38.96584262,-77.05431874,38.97902514,pm4to12,78967,40564,home_11_45179,21:56:07,22:21:07
110100014,-77.05835172,38.96913507,-77.05567278,38.89590057,am8to9,32268,home_11_45180,10382,8:57:48,9:07:48
110100014,-77.05567278,38.89590057,-77.0322853,38.90446111,pm4to12,60768,10382,57807,16:52:48,17:02:48
110100014,-77.0322853,38.90446111,-77.05835172,38.96913507,pm4to12,69168,57807,home_11_45180,19:12:48,19:27:48
110100042,-77.06720901,38.97283745,-77.11698676,39.11923081,am6to7,21699,home_11_45188,14028,6:01:39,6:21:39
110100042,-77.11698676,39.11923081,-77.06720901,38.97283745,am7to8,27399,14028,home_11_45188,7:36:39,7:41:39
110100042,-77.06720901,38.97283745,-77.06623885,38.94379886,pm12to4,43599,home_11_45188,15027,12:06:39,12:16:39
110100042,-77.06623885,38.94379886,-77.06720901,38.97283745,pm12to4,46899,15027,home_11_45188,13:01:39,13:06:39
110100042,-77.06720901,38.97283745,-77.05694225,38.96512071,pm12to4,47199,home_11_45188,90658,13:06:39,13:11:39
110100042,-77.05694225,38.96512071,-77.05567278,38.89590057,pm12to4,48099,90658,10382,13:21:39,13:46:39
110100042,-77.05567278,38.89590057,-77.06720901,38.97283745,pm4to12,65199,10382,home_11_45188,18:06:39,18:41:39
110100053,-77.068301,38.96863752,-77.0267781,38.87455141,am7to8,28593,home_11_45193,10351,7:56:33,8:36:33
110100053,-77.0267781,38.87455141,-76.98831613,38.88027051,pm12to4,45393,10351,80307,12:36:33,12:56:33
110100053,-76.98831613,38.88027051,-77.08180325,38.90865264,pm4to12,61293,80307,78495,17:01:33,17:11:33
110100053,-77.08180325,38.90865264,-77.068301,38.96863752,pm4to12,62493,78495,home_11_45193,17:21:33,18:11:33
110100058,-77.0651285,38.96761001,-77.0267781,38.87455141,am7to8,27822,home_11_45196,10403,7:43:42,8:13:42
110100058,-77.0267781,38.87455141,-77.0651285,38.96761001,pm4to12,65622,10403,home_11_45196,18:13:42,18:48:42
110100058,-77.0651285,38.96761001,-77.03135811,39.00206364,pm4to12,69222,home_11_45196,17600,19:13:42,19:28:42
110100058,-77.03135811,39.00206364,-77.0651285,38.96761001,pm4to12,76422,17600,home_11_45196,21:13:42,21:23:42
110100063,-77.05505921,38.96611958,-77.0298856,38.91681521,pm4to12,65110,home_11_45197,11475,18:05:10,18:35:10
110100063,-77.0298856,38.91681521,-77.05505921,38.96611958,pm4to12,72310,11475,home_11_45197,20:05:10,20:35:10
110100068,-77.0570583,38.96771456,-77.0267781,38.87455141,am8to9,29550,home_11_45198,10403,8:12:30,8:47:30
110100068,-77.0267781,38.87455141,-77.06623885,38.94379886,pm4to12,62550,10403,15027,17:22:30,18:12:30
110100068,-77.06623885,38.94379886,-77.0570583,38.96771456,pm4to12,77850,15027,home_11_45198,21:37:30,22:07:30
11010008,-77.07114232,38.91647852,-77.0443585,38.90909311,am9to10,32974,home_11_4253,56903,9:09:34,9:54:34
11010008,-77.0443585,38.90909311,-77.07114232,38.91647852,pm4to12,66274,56903,home_11_4253,18:24:34,19:04:34
110100083,-77.06388239,38.96653315,-77.0267781,38.87455141,am6to7,23205,home_11_45201,10403,6:26:45,6:56:45
110100083,-77.0267781,38.87455141,-77.0244599,38.87967501,am10to11,36105,10403,5157,10:01:45,10:06:45
110100083,-77.0244599,38.87967501,-77.0267781,38.87455141,am10to11,36705,5157,10403,10:11:45,10:21:45
110100083,-77.0267781,38.87455141,-77.02163996,38.89999398,pm12to4,43305,10403,5321,12:01:45,12:16:45
110100083,-77.02163996,38.89999398,-77.0267781,38.87455141,pm12to4,46005,5321,10403,12:46:45,13:01:45
110100083,-77.0267781,38.87455141,-77.06388239,38.96653315,pm4to12,57705,10403,home_11_45201,16:01:45,16:41:45
110100083,-77.06388239,38.96653315,-77.07488731,38.96459294,pm4to12,66705,home_11_45201,12300,18:31:45,21:31:45
110100083,-77.07488731,38.96459294,-77.06388239,38.96653315,pm4to12,77505,12300,home_11_45201,21:31:45,21:41:45
110100108,-77.0632735,38.97577382,-77.07488731,38.96459294,pm12to4,45526,home_11_45207,12300,12:38:46,12:48:46
110100108,-77.07488731,38.96459294,-77.05244418,38.96663108,pm12to4,46426,12300,90615,12:53:46,12:58:46
110100108,-77.05244418,38.96663108,-77.05567278,38.89590057,pm12to4,47026,90615,10421,13:03:46,13:13:46
110100108,-77.05567278,38.89590057,-77.0632735,38.97577382,pm4to12,81526,10421,home_11_45207,22:38:46,22:48:46
110100109,-77.0632735,38.97577382,-77.04596175,38.99234588,am7to8,28150,home_11_45207,46092,7:49:10,7:54:10
11010011,-77.07603323,38.91992751,-77.0443585,38.90909311,am8to9,31061,home_11_4254,56985,8:37:41,9:22:41
11010011,-77.0443585,38.90909311,-77.07603323,38.91992751,pm4to12,64361,56985,home_11_4254,17:52:41,18:32:41
110100119,-77.0651095,38.97022701,-77.05567278,38.89590057,am6to7,23943,home_11_45209,10382,6:39:03,6:59:03
110100119,-77.05567278,38.89590057,-77.0651095,38.97022701,pm4to12,69843,10382,home_11_45209,19:24:03,19:44:03
110100128,-77.06637956,38.97415251,-77.05567278,38.89590057,am9to10,33135,home_11_45213,10382,9:12:15,9:37:15
110100128,-77.05567278,38.89590057,-77.04780527,38.90440558,pm4to12,72735,10382,6690,20:12:15,20:22:15
110100128,-77.04913468,38.90101395,-77.06637956,38.97415251,pm4to12,76935,10038,home_11_45213,21:22:15,21:47:15
110100133,-77.05620653,38.98112716,-77.06526881,38.98543011,am7to8,26820,home_11_45215,23173,7:27:00,7:32:00
110100133,-77.06526881,38.98543011,-77.05620653,38.98112716,am8to9,29820,23173,home_11_45215,8:17:00,8:22:00
11010014,-77.04056042,38.89393995,-77.0725964,38.91884648,pm4to12,60103,10183,home_11_4255,16:41:43,17:06:43
110100141,-76.93586264,38.88122671,-77.05567278,38.89590057,am8to9,31455,85041,10421,8:44:15,9:09:15
110100141,-77.05567278,38.89590057,-77.06044549,38.97513278,pm4to12,62655,10421,home_11_45218,17:24:15,18:39:15
110100142,-77.06044549,38.97513278,-77.0267781,38.87455141,am7to8,26558,home_11_45218,10351,7:22:38,8:02:38
110100142,-77.0267781,38.87455141,-77.06044549,38.97513278,pm4to12,66758,10351,home_11_45218,18:32:38,19:12:38
110100143,-77.0537822,38.97584093,-77.0267781,38.87455141,pm12to4,44363,home_11_45219,10403,12:19:23,13:04:23
110100143,-77.0267781,38.87455141,-77.08896721,38.82750449,pm4to12,60563,10403,37344,16:49:23,17:09:23
110100143,-77.08896721,38.82750449,-77.02226943,38.99714579,pm4to12,62963,37344,16573,17:29:23,18:19:23
110100143,-77.02226943,38.99714579,-77.03894038,38.8996084,pm4to12,67463,16573,6173,18:44:23,19:04:23
110100143,-77.03894038,38.8996084,-77.0537822,38.97584093,pm4to12,70163,6173,home_11_45219,19:29:23,19:39:23
11010015,-77.07569188,38.9140768,-77.0443585,38.90909311,am7to8,27077,home_11_4256,56985,7:31:17,8:11:17
11010015,-77.0443585,38.90909311,-77.04000427,39.0092195,pm12to4,50177,56985,17479,13:56:17,14:36:17
11010015,-77.04000427,39.0092195,-77.07569188,38.9140768,pm12to4,53477,17479,home_11_4256,14:51:17,15:06:17
11010015,-77.07569188,38.9140768,-76.9474659,38.90408265,pm4to12,70877,home_11_4256,85770,19:41:17,19:56:17
11010015,-76.9474659,38.90408265,-77.07569188,38.9140768,pm4to12,81677,85770,home_11_4256,22:41:17,22:56:17
110100159,-77.06217299,38.96618756,-77.06623885,38.94379886,pm12to4,47003,home_11_45223,15027,13:03:23,13:13:23
110100159,-77.06623885,38.94379886,-77.0289,38.89480001,pm12to4,54203,15027,10393,15:03:23,15:23:23
110100159,-77.0289,38.89480001,-76.78773757,38.80366317,pm4to12,69203,10393,42200,19:13:23,20:53:23
110100159,-76.78773757,38.80366317,-77.06217299,38.96618756,pm4to12,80003,42200,home_11_45223,22:13:23,23:03:23
11010017,-77.0758745,38.9225483,-77.09054665,38.95331644,am7to8,27179,home_11_4257,58653,7:32:59,7:57:59
11010017,-77.09054665,38.95331644,-77.0758745,38.9225483,am8to9,30779,58653,home_11_4257,8:32:59,8:57:59
110100179,-77.0651095,38.97022701,-77.05567278,38.89590057,am7to8,27714,home_11_45225,10421,7:41:54,8:01:54
110100179,-77.05567278,38.89590057,-77.0651095,38.97022701,pm4to12,60414,10421,home_11_45225,16:46:54,17:31:54
110100187,-77.05708738,38.98168758,-77.05567278,38.89590057,am8to9,30559,home_11_45226,10382,8:29:19,8:49:19
110100187,-77.05567278,38.89590057,-77.05708738,38.98168758,pm4to12,79459,10382,home_11_45226,22:04:19,22:29:19
110100205,-77.06384101,38.9667158,-77.05567278,38.89590057,am9to10,33741,home_11_45230,10382,9:22:21,9:32:21
110100205,-77.05567278,38.89590057,-77.06384101,38.9667158,pm4to12,64341,10382,home_11_45230,17:52:21,18:02:21
11010021,-77.07114232,38.91647852,-77.0443585,38.90909311,pm4to12,77317,home_11_4258,56985,21:28:37,21:58:37
110100217,-77.06384101,38.9667158,-77.05567278,38.89590057,am7to8,25457,home_11_45235,10421,7:04:17,7:29:17
110100217,-77.05567278,38.89590057,-77.14407938,38.81901012,pm12to4,56357,10421,43142,15:39:17,16:09:17
110100217,-77.14407938,38.81901012,-77.06384101,38.9667158,pm4to12,63557,43142,home_11_45235,17:39:17,18:04:17
110100219,-77.06383689,38.97268834,-77.05718,38.92354001,am8to9,30479,home_11_45236,12934,8:27:59,8:42:59
110100219,-77.06623885,38.94379886,-77.06383689,38.97268834,am11to12,42179,15027,home_11_45236,11:42:59,24:02:59
110100221,-77.05447094,38.97448929,-77.10272411,38.97670223,am8to9,29731,home_11_45237,86497,8:15:31,8:25:31
110100221,-77.10272411,38.97670223,-77.12476165,38.98244153,am8to9,30631,86497,88106,8:30:31,8:35:31
110100221,-77.12476165,38.98244153,-77.01458158,38.97448961,am8to9,30931,88106,61751,8:35:31,9:30:31
110100221,-77.01458158,38.97448961,-77.05447094,38.97448929,am10to11,36931,61751,home_11_45237,10:15:31,10:25:31
110100221,-77.05447094,38.97448929,-76.87752023,38.88811781,am10to11,37831,home_11_45237,44530,10:30:31,11:00:31
110100221,-76.87752023,38.88811781,-77.05447094,38.97448929,am11to12,42331,44530,home_11_45237,11:45:31,12:30:31
110100221,-77.05447094,38.97448929,-77.06880357,38.9919048,pm12to4,52231,home_11_45237,76493,14:30:31,14:40:31
110100221,-77.06880357,38.9919048,-77.0897349,38.96494356,pm12to4,54631,76493,86072,15:10:31,15:15:31
110100221,-77.0897349,38.96494356,-77.05447094,38.97448929,pm12to4,54931,86072,home_11_45237,15:15:31,15:25:31
110100221,-77.05447094,38.97448929,-77.05567278,38.89590057,pm4to12,63031,home_11_45237,10421,17:30:31,18:00:31
110100221,-77.05567278,38.89590057,-77.05447094,38.97448929,pm4to12,83731,10421,home_11_45237,23:15:31,23:30:31
110100226,-77.05967624,38.97646134,-77.0267781,38.87455141,am5to6,18737,home_11_45239,10403,5:12:17,5:37:17
110100226,-77.0267781,38.87455141,-77.05967624,38.97646134,pm12to4,56837,10403,home_11_45239,15:47:17,16:22:17
110100226,-77.05967624,38.97646134,-77.05464332,39.05285737,pm4to12,60437,home_11_45239,3149,16:47:17,17:07:17
110100226,-77.05464332,39.05285737,-77.05967624,38.97646134,pm4to12,62237,3149,home_11_45239,17:17:17,17:37:17
110100230,-77.05985664,38.97879659,-77.05567278,38.89590057,am7to8,28007,home_11_45242,10382,7:46:47,7:56:47
110100230,-77.05567278,38.89590057,-77.05985664,38.97879659,pm4to12,62207,10382,home_11_45242,17:16:47,17:26:47
110100231,-77.05985664,38.97879659,-77.0267781,38.87455141,am8to9,30592,home_11_45242,10403,8:29:52,9:09:52
110100231,-77.0267781,38.87455141,-77.05985664,38.97879659,pm4to12,60292,10403,home_11_45242,16:44:52,17:19:52
110100237,-77.05520853,38.98281422,-77.0267781,38.87455141,am7to8,28314,home_11_45246,10351,7:51:54,8:21:54
110100237,-77.0267781,38.87455141,-77.05520853,38.98281422,pm4to12,66114,10351,home_11_45246,18:21:54,18:56:54
110100237,-77.05520853,38.98281422,-77.06032863,39.01636421,pm4to12,69714,home_11_45246,86121,19:21:54,19:36:54
110100237,-77.06032863,39.01636421,-77.05520853,38.98281422,pm4to12,76914,86121,home_11_45246,21:21:54,21:31:54
110100258,-77.06135964,38.9738305,-77.07287617,39.00459528,am6to7,22825,home_11_45252,76583,6:20:25,6:40:25
110100258,-77.07287617,39.00459528,-77.06135964,38.9738305,am7to8,27325,76583,home_11_45252,7:35:25,7:55:25
110100258,-77.06135964,38.9738305,-77.0267781,38.87455141,am8to9,30025,home_11_45252,10403,8:20:25,9:00:25
110100258,-77.0267781,38.87455141,-76.93548294,38.8195778,pm12to4,46225,10403,44369,12:50:25,13:15:25
110100258,-76.92640593,38.81625426,-77.14527757,39.04714985,pm4to12,64225,71956,46067,17:50:25,18:35:25
110100258,-77.14527757,39.04714985,-77.06135964,38.9738305,pm4to12,71425,46067,home_11_45252,19:50:25,20:00:25
110100303,-77.06383689,38.97268834,-77.05567278,38.89590057,am5to6,19425,home_11_45270,10382,5:23:45,5:28:45
110100303,-77.05567278,38.89590057,-77.06383689,38.97268834,pm4to12,61125,10382,home_11_45270,16:58:45,17:13:45
110100324,-77.06293825,38.97686741,-77.05567278,38.89590057,am9to10,35194,home_11_45278,10382,9:46:34,10:01:34
110100324,-77.05567278,38.89590057,-77.0083715,38.92800516,pm4to12,63094,10382,80442,17:31:34,17:46:34
110100324,-77.0083715,38.92800516,-77.06293825,38.97686741,pm4to12,63994,80442,home_11_45278,17:46:34,18:16:34
110100331,-77.05845317,38.97283389,-77.05567278,38.89590057,am6to7,23324,home_11_45281,10421,6:28:44,6:33:44
110100331,-77.05567278,38.89590057,-77.0477743,38.89618081,pm12to4,43724,10421,10043,12:08:44,12:23:44
110100331,-77.0477743,38.89618081,-77.05567278,38.89590057,pm12to4,46724,10043,10421,12:58:44,13:08:44
110100331,-77.05567278,38.89590057,-77.09898623,38.94538686,pm4to12,57824,10421,80177,16:03:44,16:13:44
110100331,-77.09898623,38.94538686,-77.05845317,38.97283389,pm4to12,59024,80177,home_11_45281,16:23:44,16:33:44
110100332,-77.05845317,38.97283389,-77.05567278,38.89590057,am7to8,27141,home_11_45281,10382,7:32:21,7:52:21
110100332,-77.05567278,38.89590057,-77.08320917,38.88941407,pm4to12,64641,10382,1462,17:57:21,18:07:21
110100332,-77.08320917,38.88941407,-77.05845317,38.97283389,pm4to12,66741,1462,home_11_45281,18:32:21,19:17:21
110100335,-77.05778446,38.97312992,-77.03722713,38.9697169,am7to8,27078,home_11_45283,85223,7:31:18,7:41:18
110100335,-77.077078,38.94383671,-77.05778446,38.97312992,pm4to12,62778,14933,home_11_45283,17:26:18,17:36:18
110100348,-77.06300036,38.96831033,-77.08505675,38.93235341,am7to8,28175,home_11_45286,57793,7:49:35,7:59:35
110100348,-77.08505675,38.93235341,-77.05567278,38.89590057,am7to8,28775,57793,10421,7:59:35,8:29:35
110100348,-77.05567278,38.89590057,-77.06300036,38.96831033,pm4to12,58775,10421,home_11_45286,16:19:35,16:54:35
110100348,-77.06300036,38.96831033,-77.0711133,38.9808248,pm4to12,67775,home_11_45286,23118,18:49:35,18:54:35
110100348,-77.0711133,38.9808248,-77.06300036,38.96831033,pm4to12,69575,23118,home_11_45286,19:19:35,19:24:35
